Altitude,Heat Capacity Ratio,Sound Speed
m,-,m/s
6380,1.4,314.8826169
6390,1.4,314.8412187
6400,1.4,314.7998152
6410,1.4,314.7584063
6420,1.4,314.7169922
6430,1.4,314.6755727
6440,1.4,314.6341479
6450,1.4,314.5927178
6460,1.4,314.5512824
6470,1.4,314.5098416
6480,1.4,314.4683955
6490,1.4,314.4269441
6500,1.4,314.3854873
6510,1.4,314.3440252
6520,1.4,314.3025577
6530,1.4,314.261085
6540,1.4,314.2196068
6550,1.4,314.1781234
6560,1.4,314.1366345
6570,1.4,314.0951404
6580,1.4,314.0536408
6590,1.4,314.012136
6600,1.4,313.9706257
6610,1.4,313.9291101
6620,1.4,313.8875892
6630,1.4,313.8460629
6640,1.4,313.8045312
6650,1.4,313.7629941
6660,1.4,313.7214517
6670,1.4,313.6799039
6680,1.4,313.6383508
6690,1.4,313.5967922
6700,1.4,313.5552283
6710,1.4,313.513659
6720,1.4,313.4720843
6730,1.4,313.4305043
6740,1.4,313.3889188
6750,1.4,313.347328
6760,1.4,313.3057318
6770,1.4,313.2641302
6780,1.4,313.2225231
6790,1.4,313.1809107
6800,1.4,313.1392929
6810,1.4,313.0976697
6820,1.4,313.0560411
6830,1.4,313.0144071
6840,1.4,312.9727677
6850,1.4,312.9311228
6860,1.4,312.8894726
6870,1.4,312.8478169
6880,1.4,312.8061558
6890,1.4,312.7644893
6900,1.4,312.7228174
6910,1.4,312.6811401
6920,1.4,312.6394573
6930,1.4,312.5977691
6940,1.4,312.5560755
6950,1.4,312.5143765
6960,1.4,312.472672
6970,1.4,312.4309621
6980,1.4,312.3892467
6990,1.4,312.3475259
7000,1.4,312.3057997
7010,1.4,312.264068
7020,1.4,312.2223308
7030,1.4,312.1805883
7040,1.4,312.1388402
7050,1.4,312.0970867
7060,1.4,312.0553278
7070,1.4,312.0135634
7080,1.4,311.9717936
7090,1.4,311.9300182
7100,1.4,311.8882374
7110,1.4,311.8464512
7120,1.4,311.8046595
7130,1.4,311.7628623
7140,1.4,311.7210596
7150,1.4,311.6792515
7160,1.4,311.6374379
7170,1.4,311.5956188
7180,1.4,311.5537942
7190,1.4,311.5119641
7200,1.4,311.4701286
7210,1.4,311.4282875
7220,1.4,311.386441
7230,1.4,311.344589
7240,1.4,311.3027315
7250,1.4,311.2608685
7260,1.4,311.219
7270,1.4,311.177126
7280,1.4,311.1352464
7290,1.4,311.0933614
7300,1.4,311.0514709
7310,1.4,311.0095748
7320,1.4,310.9676733
7330,1.4,310.9257662
7340,1.4,310.8838536
7350,1.4,310.8419355
7360,1.4,310.8000119
7370,1.4,310.7580827
7380,1.4,310.7161481
7390,1.4,310.6742078
7400,1.4,310.6322621
7410,1.4,310.5903108
7420,1.4,310.548354
7430,1.4,310.5063917
7440,1.4,310.4644238
7450,1.4,310.4224504
7460,1.4,310.3804714
7470,1.4,310.3384869
7480,1.4,310.2964968
7490,1.4,310.2545012
7500,1.4,310.2125
7510,1.4,310.1704933
7520,1.4,310.128481
7530,1.4,310.0864632
7540,1.4,310.0444398
7550,1.4,310.0024108
7560,1.4,309.9603763
7570,1.4,309.9183362
7580,1.4,309.8762905
7590,1.4,309.8342392
7600,1.4,309.7921824
7610,1.4,309.75012
7620,1.4,309.708052
7630,1.4,309.6659784
7640,1.4,309.6238993
7650,1.4,309.5818146
7660,1.4,309.5397242
7670,1.4,309.4976283
7680,1.4,309.4555268
7690,1.4,309.4134197
7700,1.4,309.371307
7710,1.4,309.3291887
7720,1.4,309.2870647
7730,1.4,309.2449352
7740,1.4,309.2028001
7750,1.4,309.1606594
7760,1.4,309.118513
7770,1.4,309.076361
7780,1.4,309.0342035
7790,1.4,308.9920402
7800,1.4,308.9498714
7810,1.4,308.907697
7820,1.4,308.8655169
7830,1.4,308.8233312
7840,1.4,308.7811399
7850,1.4,308.7389429
7860,1.4,308.6967403
7870,1.4,308.6545321
7880,1.4,308.6123182
7890,1.4,308.5700987
7900,1.4,308.5278735
7910,1.4,308.4856427
7920,1.4,308.4434062
7930,1.4,308.4011641
7940,1.4,308.3589163
7950,1.4,308.3166629
7960,1.4,308.2744038
7970,1.4,308.2321391
7980,1.4,308.1898687
7990,1.4,308.1475926
8000,1.4,308.1053109
8010,1.4,308.0630235
8020,1.4,308.0207304
8030,1.4,307.9784316
8040,1.4,307.9361272
8050,1.4,307.8938171
8060,1.4,307.8515013
8070,1.4,307.8091798
8080,1.4,307.7668526
8090,1.4,307.7245198
8100,1.4,307.6821812
8110,1.4,307.639837
8120,1.4,307.597487
8130,1.4,307.5551314
8140,1.4,307.51277
8150,1.4,307.470403
8160,1.4,307.4280303
8170,1.4,307.3856518
8180,1.4,307.3432676
8190,1.4,307.3008778
8200,1.4,307.2584822
8210,1.4,307.2160809
8220,1.4,307.1736738
8230,1.4,307.1312611
8240,1.4,307.0888426
8250,1.4,307.0464184
8260,1.4,307.0039885
8270,1.4,306.9615528
8280,1.4,306.9191114
8290,1.4,306.8766643
8300,1.4,306.8342114
8310,1.4,306.7917528
8320,1.4,306.7492884
8330,1.4,306.7068183
8340,1.4,306.6643425
8350,1.4,306.6218609
8360,1.4,306.5793735
8370,1.4,306.5368804
8380,1.4,306.4943815
8390,1.4,306.4518769
8400,1.4,306.4093665
8410,1.4,306.3668504
8420,1.4,306.3243284
8430,1.4,306.2818007
8440,1.4,306.2392673
8450,1.4,306.196728
8460,1.4,306.154183
8470,1.4,306.1116322
8480,1.4,306.0690757
8490,1.4,306.0265133
8500,1.4,305.9839451
8510,1.4,305.9413712
8520,1.4,305.8987915
8530,1.4,305.856206
8540,1.4,305.8136146
8550,1.4,305.7710175
8560,1.4,305.7284146
8570,1.4,305.6858059
8580,1.4,305.6431913
8590,1.4,305.600571
8600,1.4,305.5579449
8610,1.4,305.5153129
8620,1.4,305.4726751
8630,1.4,305.4300315
8640,1.4,305.3873821
8650,1.4,305.3447269
8660,1.4,305.3020658
8670,1.4,305.2593989
8680,1.4,305.2167262
8690,1.4,305.1740476
8700,1.4,305.1313632
8710,1.4,305.088673
8720,1.4,305.0459769
8730,1.4,305.003275
8740,1.4,304.9605673
8750,1.4,304.9178537
8760,1.4,304.8751342
8770,1.4,304.8324089
8780,1.4,304.7896777
8790,1.4,304.7469407
8800,1.4,304.7041978
8810,1.4,304.6614491
8820,1.4,304.6186945
8830,1.4,304.575934
8840,1.4,304.5331677
8850,1.4,304.4903954
8860,1.4,304.4476174
8870,1.4,304.4048334
8880,1.4,304.3620435
8890,1.4,304.3192478
8900,1.4,304.2764462
8910,1.4,304.2336387
8920,1.4,304.1908253
8930,1.4,304.148006
8940,1.4,304.1051808
8950,1.4,304.0623498
8960,1.4,304.0195128
8970,1.4,303.9766699
8980,1.4,303.9338211
8990,1.4,303.8909664
9000,1.4,303.8481058
9010,1.4,303.8052393
9020,1.4,303.7623669
9030,1.4,303.7194886
9040,1.4,303.6766043
9050,1.4,303.6337141
9060,1.4,303.590818
9070,1.4,303.547916
9080,1.4,303.505008
9090,1.4,303.4620941
9100,1.4,303.4191743
9110,1.4,303.3762485
9120,1.4,303.3333168
9130,1.4,303.2903792
9140,1.4,303.2474356
9150,1.4,303.204486
9160,1.4,303.1615305
9170,1.4,303.1185691
9180,1.4,303.0756017
9190,1.4,303.0326283
9200,1.4,302.989649
9210,1.4,302.9466637
9220,1.4,302.9036725
9230,1.4,302.8606753
9240,1.4,302.8176721
9250,1.4,302.774663
9260,1.4,302.7316478
9270,1.4,302.6886267
9280,1.4,302.6455996
9290,1.4,302.6025666
9300,1.4,302.5595275
9310,1.4,302.5164825
9320,1.4,302.4734314
9330,1.4,302.4303744
9340,1.4,302.3873114
9350,1.4,302.3442424
9360,1.4,302.3011673
9370,1.4,302.2580863
9380,1.4,302.2149993
9390,1.4,302.1719062
9400,1.4,302.1288072
9410,1.4,302.0857021
9420,1.4,302.042591
9430,1.4,301.9994739
9440,1.4,301.9563508
9450,1.4,301.9132217
9460,1.4,301.8700865
9470,1.4,301.8269453
9480,1.4,301.7837981
9490,1.4,301.7406448
9500,1.4,301.6974855
9510,1.4,301.6543202
9520,1.4,301.6111488
9530,1.4,301.5679714
9540,1.4,301.5247879
9550,1.4,301.4815984
9560,1.4,301.4384028
9570,1.4,301.3952012
9580,1.4,301.3519935
9590,1.4,301.3087797
9600,1.4,301.2655599
9610,1.4,301.222334
9620,1.4,301.1791021
9630,1.4,301.1358641
9640,1.4,301.09262
9650,1.4,301.0493698
9660,1.4,301.0061136
9670,1.4,300.9628512
9680,1.4,300.9195828
9690,1.4,300.8763083
9700,1.4,300.8330277
9710,1.4,300.7897411
9720,1.4,300.7464483
9730,1.4,300.7031494
9740,1.4,300.6598445
9750,1.4,300.6165334
9760,1.4,300.5732162
9770,1.4,300.5298929
9780,1.4,300.4865635
9790,1.4,300.443228
9800,1.4,300.3998864
9810,1.4,300.3565387
9820,1.4,300.3131848
9830,1.4,300.2698248
9840,1.4,300.2264587
9850,1.4,300.1830865
9860,1.4,300.1397081
9870,1.4,300.0963236
9880,1.4,300.052933
9890,1.4,300.0095362
9900,1.4,299.9661333
9910,1.4,299.9227242
9920,1.4,299.879309
9930,1.4,299.8358876
9940,1.4,299.7924601
9950,1.4,299.7490265
9960,1.4,299.7055866
9970,1.4,299.6621406
9980,1.4,299.6186885
9990,1.4,299.5752302
10000,1.4,299.5317657
10010,1.4,299.488295
10020,1.4,299.4448182
10030,1.4,299.4013352
10040,1.4,299.357846
10050,1.4,299.3143506
10060,1.4,299.2708491
10070,1.4,299.2273413
10080,1.4,299.1838274
10090,1.4,299.1403073
10100,1.4,299.0967809
10110,1.4,299.0532484
10120,1.4,299.0097097
10130,1.4,298.9661648
10140,1.4,298.9226136
10150,1.4,298.8790563
10160,1.4,298.8354927
10170,1.4,298.791923
10180,1.4,298.748347
10190,1.4,298.7047648
10200,1.4,298.6611764
10210,1.4,298.6175817
10220,1.4,298.5739808
10230,1.4,298.5303737
10240,1.4,298.4867604
10250,1.4,298.4431408
10260,1.4,298.399515
10270,1.4,298.3558829
10280,1.4,298.3122446
10290,1.4,298.2686
10300,1.4,298.2249492
10310,1.4,298.1812922
10320,1.4,298.1376289
10330,1.4,298.0939593
10340,1.4,298.0502834
10350,1.4,298.0066013
10360,1.4,297.962913
10370,1.4,297.9192184
10380,1.4,297.8755174
10390,1.4,297.8318103
10400,1.4,297.7880968
10410,1.4,297.7443771
10420,1.4,297.700651
10430,1.4,297.6569187
10440,1.4,297.6131801
10450,1.4,297.5694352
10460,1.4,297.5256841
10470,1.4,297.4819266
10480,1.4,297.4381628
10490,1.4,297.3943927
10500,1.4,297.3506163
10510,1.4,297.3068336
10520,1.4,297.2630446
10530,1.4,297.2192493
10540,1.4,297.1754477
10550,1.4,297.1316397
10560,1.4,297.0878254
10570,1.4,297.0440048
10580,1.4,297.0001779
10590,1.4,296.9563446
10600,1.4,296.912505
10610,1.4,296.8686591
10620,1.4,296.8248068
10630,1.4,296.7809482
10640,1.4,296.7370833
10650,1.4,296.6932119
10660,1.4,296.6493343
10670,1.4,296.6054503
10680,1.4,296.5615599
10690,1.4,296.5176632
10700,1.4,296.4737601
10710,1.4,296.4298507
10720,1.4,296.3859348
10730,1.4,296.3420127
10740,1.4,296.2980841
10750,1.4,296.2541492
10760,1.4,296.2102078
10770,1.4,296.1662602
10780,1.4,296.1223061
10790,1.4,296.0783456
10800,1.4,296.0343787
