Time,r_1,r_2,r_3
1023.42342342342,-0.0384746068311298,0.0218819221449542,0.00547048053623854
1030.63063063063,-0.0383916697038958,0.0224570432022086,0.00561426080055215
1037.83783783784,-0.0383065833720132,0.0230309070913393,0.00575772677283483
1045.04504504505,-0.0382193525986898,0.0236034816869471,0.00590087042173677
1052.25225225225,-0.0381299822672045,0.0241747349356417,0.00604368373391042
1059.45945945946,-0.0380384773805882,0.0247446348581639,0.00618615871454097
1066.66666666667,-0.037944843061387,0.0253131495508699,0.00632828738771747
1073.87387387387,-0.0378490845513374,0.0258802471877826,0.00647006179694566
1081.08108108108,-0.0377512072111035,0.0264458960221649,0.00661147400554122
1088.28828828829,-0.0376512165199556,0.0270100643884374,0.00675251609710936
1095.4954954955,-0.0375491180754735,0.0275727207038842,0.00689318017597106
1102.7027027027,-0.0374449175932358,0.0281338334704131,0.00703345836760327
1109.90990990991,-0.0373386209064842,0.0286933712763988,0.00717334281909969
1117.11711711712,-0.0372302339658249,0.0292513027982946,0.00731282569957366
1124.32432432432,-0.0371197628388568,0.0298075968025921,0.00745189920064802
1131.53153153153,-0.0370072137098799,0.0303622221473138,0.00759055553682844
1138.73873873874,-0.0368925928794931,0.0309151477840504,0.0077287869460126
1145.94594594595,-0.0367759067643033,0.0314663427593793,0.00786658568984484
1153.15315315315,-0.0366571618965011,0.0320157762169305,0.00800394405423262
1160.36036036036,-0.0365363649235609,0.0325634173987805,0.00814085434969514
1167.56756756757,-0.036413522607805,0.0331092356474928,0.00827730891187321
1174.77477477477,-0.0362886418260838,0.0336532004075459,0.00841330010188647
1181.98198198198,-0.0361617295693403,0.0341952812272876,0.0085488203068219
1189.18918918919,-0.0360327929422581,0.0347354477604513,0.00868386194011283
1196.3963963964,-0.0359018391628376,0.0352736697679814,0.00881841744199534
1203.6036036036,-0.0357688755620035,0.0358099171196644,0.0089524792799161
1210.81081081081,-0.0356339095831978,0.0363441597958119,0.00908603994895298
1218.01801801802,-0.0354969487819449,0.0368763678890087,0.00921909197225216
1225.22522522523,-0.035358000825461,0.0374065116056593,0.00935162790141484
1232.43243243243,-0.0352170734921793,0.037934561267838,0.0094836403169595
1239.63963963964,-0.0350741746713721,0.038460487314721,0.00961512182868024
1246.84684684685,-0.0349293123626412,0.0389842603045092,0.00974606507612729
1254.05405405405,-0.0347824946755468,0.0395058509157782,0.00987646272894456
1261.26126126126,-0.0346337298290698,0.0400252299494399,0.01000630748736
1268.46846846847,-0.0344830261512403,0.0405423683300438,0.0101355920825109
1275.67567567568,-0.0343303920785802,0.0410572371077418,0.0102643092769354
1282.88288288288,-0.0341758361557222,0.0415698074595772,0.0103924518648943
1290.09009009009,-0.034019367034843,0.0420800506914145,0.0105200126728536
1297.2972972973,-0.0338609934752614,0.0425879382392549,0.0106469845598137
1304.5045045045,-0.0337007243428745,0.0430934416710917,0.0107733604177729
1311.71171171171,-0.0335385686097233,0.0435965326882872,0.0108991331720718
1318.91891891892,-0.0333745353534418,0.0440971831273252,0.0110242957818313
1326.12612612613,-0.033208633756783,0.0445953649612685,0.0111488412403171
1333.33333333333,-0.033040873107086,0.0450910503013969,0.0112727625753492
1340.54054054054,-0.0328712627957592,0.0455842113987493,0.0113960528496873
1347.74774774775,-0.032699812317767,0.0460748206456473,0.0115187051614118
1354.95495495495,-0.0325265312710705,0.0465628505773175,0.0116407126443294
